FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-25,I3,ALT,EUN,1.333932033724237E-7,0.01
2020-03-25,ND,ALT,EUN,3.4397879666610845E-4,0.01
2020-03-25,RE,ALT,EUN,3.748480657506242E-6,0.01
2020-03-25,SU,ALT,EUN,0.9994857863584398,0.01
2020-03-26,ED,TAM,EUN,4.688820083630909E-10,0.01
2020-03-26,EX,TAM,EUN,1.568564288017262E-6,0.01
2020-03-26,I0,TAM,EUN,4.282800440915487E-6,0.01
2020-03-26,I1,TAM,EUN,2.670906781694503E-6,0.01
2020-03-26,I2,TAM,EUN,4.939253968686283E-7,0.01
2020-03-26,I3,TAM,EUN,1.1248492967446042E-7,0.01
2020-03-26,ND,TAM,EUN,2.9298208573388375E-5,0.01
2020-03-26,RE,TAM,EUN,3.2190954055862916E-6,0.01
2020-03-26,SU,TAM,EUN,0.9994377738877808,0.01
2020-03-26,ED,MAD,EUN,1.4143069331297404E-9,0.01
2020-03-26,EX,MAD,EUN,4.731125952813111E-6,0.01
2020-03-26,I0,MAD,EUN,1.2918035210206504E-5,0.01
2020-03-26,I1,MAD,EUN,8.056254216145712E-6,0.01
2020-03-26,I2,MAD,EUN,1.4898398305827887E-6,0.01
2020-03-26,I3,MAD,EUN,3.3929230646696224E-7,0.01
2020-03-26,ND,MAD,EUN,2.432598239645252E-4,0.01
2020-03-26,RE,MAD,EUN,9.709839107873562E-6,0.01
2020-03-26,SU,MAD,EUN,0.9994128293183814,0.01
2020-03-26,ED,ALT,EUN,6.221113827450591E-10,0.01
2020-03-26,EX,ALT,EUN,2.0811529482694828E-6,0.01
2020-03-26,I0,ALT,EUN,5.682383724021155E-6,0.01
2020-03-26,I1,ALT,EUN,3.5437444072087905E-6,0.01
2020-03-26,I2,ALT,EUN,6.553384236043309E-7,0.01
2020-03-26,I3,ALT,EUN,1.4924467699155805E-7,0.01
2020-03-26,ND,ALT,EUN,3.7836697370342696E-4,0.01
2020-03-26,RE,ALT,EUN,4.271084038287818E-6,0.01
2020-03-26,SU,ALT,EUN,0.9994337309161735,0.01
2020-03-27,ED,TAM,EUN,5.813669380375514E-10,0.01
2020-03-27,EX,TAM,EUN,1.8161171511753296E-6,0.01
2020-03-27,I0,TAM,EUN,4.99167088432947E-6,0.01
2020-03-27,I1,TAM,EUN,3.0281896636330876E-6,0.01
2020-03-27,I2,TAM,EUN,5.331412232826063E-7,0.01
2020-03-27,I3,TAM,EUN,1.247555176879089E-7,0.01
2020-03-27,ND,TAM,EUN,2.929830288630602E-5,0.01
2020-03-27,RE,TAM,EUN,3.6642347525695575E-6,0.01
2020-03-27,SU,TAM,EUN,0.9993859858819352,0.01
2020-03-27,ED,MAD,EUN,1.7535992395967027E-9,0.01
2020-03-27,EX,MAD,EUN,5.477760014823847E-6,0.01
2020-03-27,I0,MAD,EUN,1.5056101900092798E-5,0.01
2020-03-27,I1,MAD,EUN,9.133896832505936E-6,0.01
2020-03-27,I2,MAD,EUN,1.6081247187558725E-6,0.01
2020-03-27,I3,MAD,EUN,3.763042824198498E-7,0.01
2020-03-27,ND,MAD,EUN,2.6395058051472363E-4,0.01
2020-03-27,RE,MAD,EUN,1.1052508783035444E-5,0.01
2020-03-27,SU,MAD,EUN,0.9993573809169006,0.01
2020-03-27,ED,ALT,EUN,7.713560597366171E-10,0.01
2020-03-27,EX,ALT,EUN,2.409600484284E-6,0.01
2020-03-27,I0,ALT,EUN,6.622902085737123E-6,0.01
2020-03-27,I1,ALT,EUN,4.01778326503244E-6,0.01
2020-03-27,I2,ALT,EUN,7.073696391244846E-7,0.01
2020-03-27,I3,ALT,EUN,1.6552524056302848E-7,0.01
2020-03-27,ND,ALT,EUN,4.127533520117521E-4,0.01
2020-03-27,RE,ALT,EUN,4.861692199874567E-6,0.01
2020-03-27,SU,ALT,EUN,0.9993813496291434,0.01
2020-03-28,ED,TAM,EUN,7.061224557254603E-10,0.01
2020-03-28,EX,TAM,EUN,2.1028137093417847E-6,0.01
2020-03-28,I0,TAM,EUN,5.80580141652842E-6,0.01
2020-03-28,I1,TAM,EUN,3.4564796031709504E-6,0.01
2020-03-28,I2,TAM,EUN,5.812795549387772E-7,0.01
2020-03-28,I3,TAM,EUN,1.3766637383442477E-7,0.01
2020-03-28,ND,TAM,EUN,2.9298410240896954E-5,0.01
2020-03-28,RE,TAM,EUN,4.170461256583364E-6,0.01
2020-03-28,SU,TAM,EUN,0.9993339137689317,0.01
2020-03-28,ED,MAD,EUN,2.1299035220165524E-9,0.01
2020-03-28,EX,MAD,EUN,6.342441054059744E-6,0.01
2020-03-28,I0,MAD,EUN,1.7511624874971186E-5,0.01
2020-03-28,I1,MAD,EUN,1.0425705258897778E-5,0.01
2020-03-28,I2,MAD,EUN,1.7533216175387693E-6,0.01
2020-03-28,I3,MAD,EUN,4.1524739286929025E-7,0.01
2020-03-28,ND,MAD,EUN,2.8464031368108806E-4,0.01
2020-03-28,RE,MAD,EUN,1.2579429547796578E-5,0.01
2020-03-28,SU,MAD,EUN,0.9993010706068007,0.01
2020-03-28,ED,ALT,EUN,9.368813002996455E-10,0.01
2020-03-28,EX,ALT,EUN,2.789982082012791E-6,0.01
2020-03-28,I0,ALT,EUN,7.703076126957305E-6,0.01
2020-03-28,I1,ALT,EUN,4.586032988419603E-6,0.01
2020-03-28,I2,ALT,EUN,7.712391187561438E-7,0.01
2020-03-28,I3,ALT,EUN,1.826553008230365E-7,0.01
2020-03-28,ND,ALT,EUN,4.4713791866505707E-4,0.01
2020-03-28,RE,ALT,EUN,5.53335003302141E-6,0.01
2020-03-28,SU,ALT,EUN,0.9993285905795799,0.01
2020-03-29,ED,TAM,EUN,8.43788829559885E-10,0.01
2020-03-29,EX,TAM,EUN,2.434813395686301E-6,0.01
2020-03-29,I0,TAM,EUN,6.743206695186574E-6,0.01
2020-03-29,I1,TAM,EUN,3.963806846914797E-6,0.01
2020-03-29,I2,TAM,EUN,6.39959145996351E-7,0.01
2020-03-29,I3,TAM,EUN,1.515783312586504E-7,0.01
2020-03-29,ND,TAM,EUN,2.929853242689006E-5,0.01
